Naam,Categorie,Mannen,Vrouwen,Totaal
Man,woord,421,435,856
Mei,woord,7,650,657
Maan,woord,52,139,191
Min,woord,68,65,133
Mat,woord,60,13,73
Made,woord,14,11,25
Maart,woord,17,7,24
Moei,woord,0,14,14
Mijn,woord,0,10,10
Maat,woord,5,3,8
Muis,woord,3,6,9
Meer,woord,3,0,3
Mop,woord,0,3,3
Moed,woord,3,3,6
Moeder,woord,0,3,3
Mooi,woord,0,3,3
Mal,woord,3,0,3
Mat,woord,0,3,3
Meid,woord,0,3,3
Meter,woord,3,0,3
Morgen,woord,3,0,3
Mot,woord,3,0,3