Naam,Categorie,Mannen,Vrouwen,Totaal
Roos,woord,40,14222,14262
Rijk,woord,2944,7,2951
Riet,woord,16,292,308
Rem,woord,61,3,64
Roze,woord,0,45,45
Rand,woord,6,7,13
Riem,woord,3,10,13
Rits,woord,10,0,10
Reis,woord,9,0,9
Roem,woord,3,3,6
Rang,woord,6,0,6
Rook,woord,3,3,6
Roof,woord,3,0,3
Regen,woord,3,3,6
Raad,woord,3,0,3
Raam,woord,3,0,3
Radio,woord,3,3,6
Ring,woord,3,3,6
Rok,woord,3,0,3
Rad,woord,3,0,3
Recht,woord,3,0,3
Reden,woord,3,0,3
Roest,woord,3,0,3
Room,woord,0,3,3