Naam,Categorie,Mannen,Vrouwen,Totaal
Toon,woord,1693,18,1711
Ton,woord,1500,53,1553
Tin,woord,111,55,166
Tong,woord,50,45,95
Tak,woord,68,3,71
Tal,woord,18,11,29
Tik,woord,19,3,22
Til,woord,6,14,20
Tijger,woord,11,8,19
Thee,woord,16,0,16
Tang,woord,6,8,14
Tor,woord,7,3,10
Teen,woord,3,3,6
Toen,woord,3,0,3
Toets,woord,3,3,6
Twist,woord,3,3,6
Tol,woord,3,0,3
Toorn,woord,3,0,3
Toren,woord,3,0,3
Trom,woord,3,0,3
Taal,woord,3,0,3
Teil,woord,3,0,3
Tenen,woord,0,3,3
Trein,woord,3,0,3
Trots,woord,3,0,3
Tuin,woord,0,3,3