Naam,Categorie,Mannen,Vrouwen,Totaal
Zus,woord,0,138,138
Zilver,woord,23,70,93
Zweer,woord,65,0,65
Zwaan,woord,12,51,63
Zomer,woord,7,53,60
Zon,woord,11,18,29
Zin,woord,6,5,11
Zoet,woord,0,5,5
Zet,woord,3,0,3
Zeven,woord,3,3,6
Zoon,woord,3,0,3
Zwaluw,woord,0,3,3
Zand,woord,3,0,3
Zegen,woord,0,3,3
Zeker,woord,3,0,3
Zien,woord,0,3,3
Zondag,woord,3,0,3
Zwart,woord,0,3,3