Name,Men,Women,Total
Maria,468188,1401382,1869570
Marinus,119229,707,119936
Martinus,112919,1300,114219
Margaretha,2837,110712,113549
Marie,47443,44285,91728
Martina,722,51313,52035
Monique,434,48092,48526
Marcel,45331,318,45649
Martijn,43511,102,43613
Maarten,42311,49,42360
Marianne,343,38280,38623
Mark,38057,87,38144
Michael,36060,375,36435
Martin,33286,230,33516
Marco,30889,169,31058
Michel,30409,348,30757
Michiel,25546,178,25724
Martha,573,24007,24580
Magdalena,625,22972,23597
Maaike,18,23562,23580
Marijke,82,23211,23293
Marieke,33,22319,22352
Michelle,83,22073,22156
Matthijs,21834,33,21867
Miranda,163,21020,21183
Marcus,20788,316,21104
Max,20960,101,21061
Mike,19042,60,19102
Maartje,15,19050,19065
Mirjam,48,18437,18485
Marc,17889,148,18037
Martine,65,17896,17961
Marina,89,17329,17418
Maurice,16896,392,17288
Mathijs,16447,392,16839
Marjolein,28,16783,16811
Manon,102,15929,16031
Milan,15574,109,15683
Monica,219,14946,15165
Melissa,31,14730,14761
Mathilda,813,13551,14364
Mariska,23,13636,13659
Matheus,13037,603,13640
Marius,13478,60,13538
Maud,61,13042,13103
Marijn,10135,2879,13014
Merel,7,12548,12555
Marije,6,12522,12528
Mohamed,11787,524,12311
Margriet,189,12075,12264
Michaël,11976,267,12243
Marion,253,11788,12041
Melanie,127,11802,11929
Marit,8,11651,11659
Mathias,10485,812,11297
Mattheus,11005,80,11085
Menno,10875,12,10887
Marleen,97,10776,10873
Mathilde,681,10147,10828
Marloes,14,10715,10729
Mandy,62,10568,10630
Marten,10568,3,10571
Mees,9379,442,9821
Milou,20,8984,9004
Marjan,71,8881,8952
Mariëlle,69,8494,8563
Maurits,7992,32,8024
Myrthe,6,7905,7911
Mila,28,7465,7493
Mohammed,7061,124,7185
Matthias,7096,76,7172
Mathieu,6536,446,6982
Miriam,99,6755,6854
Mathea,122,6562,6684
Mario,6541,123,6664
Marian,239,6403,6642
Marja,17,6451,6468
Maikel,6426,25,6451
Mats,6332,9,6341
Melvin,6142,14,6156
Maatje,11,6088,6099
Mitchell,5975,20,5995
Meike,11,5881,5892
Machiel,5847,31,5878
Mieke,51,5772,5823
Maureen,28,5680,5708
Margot,56,5637,5693
Margje,3,5549,5552
Maxime,890,4372,5262
Markus,4981,55,5036
Mick,4920,37,4957
Marlies,76,4878,4954
Mireille,18,4894,4912
Margreet,8,4785,4793
Mary,144,4630,4774
Marcella,28,4741,4769
Mika,4318,254,4572
Manuel,4521,25,4546
Mirthe,5,4475,4480
Merijn,4218,244,4462
Manuela,49,4355,4404
Madelief,3,4256,4259
Marvin,4164,20,4184
Marjolijn,8,4156,4164
Mechelina,145,4012,4157
Minke,30,4114,4144
Marcellinus,4115,17,4132
Martje,12,4118,4130
Madeleine,80,4033,4113
Melle,3904,181,4085
Meindert,4034,10,4044
Mara,15,4016,4031
Marjon,26,3953,3979
Mart,3837,29,3866
Madelon,6,3849,3855
Mitchel,3719,9,3728
Marrigje,3,3695,3698
Megan,3,3673,3676
Martien,3319,275,3594
Mariëtte,64,3517,3581
Marnix,3575,6,3581
Mustafa,3544,33,3577
Mehmet,3300,3,3303
Merlijn,2681,508,3189
Morris,3121,25,3146
Maxim,3024,121,3145
Marcellus,3053,63,3116
Micha,2928,187,3115
Mare,31,3077,3108
Muhammed,3014,3,3017
Mina,52,2910,2962
Maximiliaan,2921,32,2953
Marissa,7,2938,2945
Margo,69,2868,2937
Merle,20,2864,2884
Margretha,28,2805,2833
Mia,83,2746,2829
Marlon,1770,1009,2779
Moniek,15,2737,2752
Marianna,29,2668,2697
Matthew,2681,3,2684
Mirte,3,2672,2675
Marjanne,5,2580,2585
Mirella,10,2430,2440
Marie-Louise,128,2310,2438
Mischa,1905,498,2403
Mechtilda,165,2220,2385
Marga,57,2300,2357
Mae,7,2268,2275
Machteld,6,2219,2225
Mette,26,2194,2220
Margaret,18,2195,2213
Mason,2142,6,2148
Milo,2123,20,2143
Mascha,11,2105,2116
Marlou,29,2025,2054
Miguel,2021,10,2031
Matthea,11,2012,2023
Malou,5,2007,2012
Maya,14,1989,2003
Margareta,60,1942,2002
Mitch,1925,7,1932
Metje,3,1924,1927
Manouk,12,1902,1914
Meta,5,1909,1914
Marchien,3,1905,1908
Marlene,19,1804,1823
Mert,1809,0,1809
Melchior,1762,28,1790
May,48,1718,1766
Marretje,3,1761,1764
Margrietha,3,1733,1736
Maike,44,1675,1719
Maik,1713,5,1718
Marthe,17,1648,1665
Meryem,0,1645,1645
Marcia,11,1600,1611
Michèle,45,1519,1564
Murat,1554,0,1554
Marijtje,0,1548,1548
Marjo,177,1362,1539
Margarethe,30,1507,1537
Mira,11,1525,1536
Marguerite,27,1495,1522
Maryam,0,1516,1516
Marike,3,1512,1515
Margarita,28,1472,1500
Marrit,0,1488,1488
Merve,3,1446,1449
Mijntje,13,1434,1447
Manfred,1419,17,1436
Mechtildis,352,1051,1403
Matthieu,1372,21,1393
Marley,645,740,1385
Marcelle,56,1325,1381
Marin,444,928,1372
Michaela,13,1350,1363
Monika,18,1337,1355
Michaëla,3,1343,1346
Martijntje,3,1302,1305
Marien,1255,45,1300
Marko,1274,3,1277
Maas,1261,10,1271
Marly,49,1222,1271
Magda,29,1241,1270
Marciano,1263,3,1266
Mayke,6,1249,1255
Marita,27,1201,1228
Maja,14,1198,1212
Mylène,3,1203,1206
Marlous,3,1197,1200
Myrna,3,1183,1186
Marcelis,1172,10,1182
Mari,781,396,1177
Mohammad,1147,26,1173
Marielle,6,1155,1161
Margrieta,5,1153,1158
Melody,3,1154,1157
Mariam,10,1145,1155
Minne,979,168,1147
Myra,9,1123,1132
Margreta,28,1099,1127
Melis,837,290,1127
Marie-José,63,1062,1125
Matteo,1117,3,1120
Meine,1086,27,1113
Melisa,0,1098,1098
Mariette,27,1070,1097
Mauro,1068,3,1071
Marjoleine,3,1057,1060
Moos,980,55,1035
Meintje,0,1030,1030
Marlijn,22,995,1017
Mercedes,16,1000,1016
Muriël,8,1007,1015
Marsha,3,1011,1014
Mels,1003,3,1006
Mattijs,993,3,996
Myriam,29,958,987
Marjorie,6,979,985
Miquel,968,10,978
Manou,25,944,969
Manja,6,955,961
Marigje,3,948,951
Mirre,9,912,921
Maren,27,893,920
Mattheüs,909,3,912
Myron,760,152,912
Marisa,5,906,911
Misha,665,246,911
Mijke,0,906,906
Marith,3,904,907
Marlène,20,869,889
Marcello,880,6,886
Marinka,5,877,882
Mariëlla,13,867,880
Marianus,873,3,876
Marietje,3,869,872
Melinda,3,865,868
Mannes,865,0,865
Maura,3,855,858
Moreno,845,7,852
Muriel,17,817,834
Mayra,3,815,818
Marte,34,781,815
Mickey,649,156,805
Malika,3,800,803
Majella,324,476,800
Margit,6,790,796
Mounir,792,3,795
Marguérite,14,777,791
Maximilian,787,3,790
Marij,59,717,776
Mink,753,22,775
Milena,3,771,774
Mijndert,769,0,769
Mik,716,47,763
Malik,739,18,757
Marouane,752,0,752
Mildred,6,745,751
Michèl,715,33,748
Marwa,0,736,736
Mikail,721,0,721
Morgan,332,386,718
Mattanja,117,594,711
Mabel,3,700,703
Margarete,10,691,701
Marilyn,3,696,699
Mauritius,665,33,698
Mariël,10,682,692
Mads,684,3,687
Maryse,3,681,684
Melina,3,678,681
Melek,3,671,674
Margret,18,654,672
Mylan,653,14,667
Margien,3,663,666
Myrte,0,664,664
Marinda,3,661,664
Midas,659,3,662
Margareth,16,643,659
Marthijn,648,3,651
Marry,15,634,649
Mariët,3,645,648
Meinardus,644,0,644
Marlena,10,622,632
Mourad,629,3,632
Maxine,3,623,626
Marcha,3,621,624
Ming,449,176,625
Mattias,619,0,619
Marise,3,615,618
Mies,88,526,614
Mirelle,3,606,609
Marika,6,596,602
Micky,285,311,596
Marcellino,591,3,594
Mechtilde,93,501,594
Manal,0,593,593
Mignon,12,578,590
Melany,3,585,588
Michella,3,583,586
Mariana,11,573,584
Mechteld,10,571,581
Miraç,568,12,580
Marlieke,0,575,575
Marino,565,9,574
Milano,570,3,573
Matz,568,3,571
Mendy,3,564,567
Musa,553,11,564
Maudy,3,558,561
Minou,6,549,555
Marlie,18,535,553
Merlin,157,395,552
Meeuwis,547,3,550
Mariëtta,5,541,546
Manu,476,68,544
Muhammet,543,0,543
Melike,0,538,538
Muhammad,529,3,532
Macy,5,521,526
Margaritha,14,510,524
Mikey,521,3,524
Miles,511,7,518
Meint,513,3,516
Manar,3,512,515
Marchiena,3,513,516
Mientje,3,509,512
Maddy,37,475,512
Mariken,3,509,512
Manisha,3,504,507
Michèlle,3,498,501
Manoah,360,134,494
Marwan,491,3,494
Meriam,12,476,488
Mehdi,474,10,484
Meis,15,467,482
Micah,463,19,482
Mirza,438,44,482
Mona,3,479,482
Marisca,3,477,480
Marijne,3,470,473
Marilène,3,461,464
Mateo,460,3,463
Melih,461,0,461
Mozes,460,3,463
Matje,10,450,460
Mex,350,110,460
Malissa,3,456,459
Mechtelina,3,456,459
Matheas,427,28,455
Manna,3,450,453
Marchel,452,3,455
Metin,452,0,452
Magrietha,3,450,453
Maris,281,170,451
Marjet,3,447,450
Marie-Claire,3,445,448
Mellanie,3,441,444
Marouan,439,0,439
Malak,5,432,437
Marlinde,0,437,437
Mikki,32,405,437
Marlot,0,436,436
Maayke,3,433,436
Mikel,430,3,433
Mimi,3,423,426
Mariah,3,423,426
Masja,3,424,427
Marie-Anne,10,414,424
Machelina,0,421,421
Marcelino,413,8,421
Mayson,420,3,423
Mariet,36,384,420
Melania,18,400,418
Maroua,0,414,414
Marscha,3,410,413
Mathis,399,13,412
Marlin,128,281,409
Maysa,3,407,410
Marcelus,399,3,402
Mustapha,400,3,403
Marijnus,401,3,404
Mahmut,398,0,398
Mirna,3,395,398
Meinte,389,3,392
Miray,8,385,393
Minh,311,79,390
Mai,25,359,384
Marjanna,3,382,385
Moussa,377,7,384
Marnick,379,3,382
Meryam,0,377,377
Marta,3,367,370
Magnus,368,3,371
Martino,356,14,370
Mirko,369,3,372
Michele,221,144,365
Magrieta,0,362,362
Mylo,357,3,360
Machtilda,10,350,360
Manolito,355,5,360
Mickel,358,3,361
Mahmoud,279,77,356
Moira,3,352,355
Matt,353,0,353
Maximus,349,3,352
Mettje,0,352,352
Morena,3,351,354
Maxwell,350,3,353
Marrie,9,341,350
Mace,334,15,349
Mélanie,3,343,346
Mahir,345,3,348
Malcolm,342,3,345
Metta,3,343,346
Margrita,0,344,344
Mirjan,3,343,346
Maeve,3,339,342
Meral,3,340,343
Megchelina,10,329,339
Margrethe,3,330,333
Maher,318,8,326
Meredith,5,319,324
Milton,321,3,324
Micheline,6,315,321
Medina,6,314,320
Martines,315,3,318
Masha,3,316,319
Miley,3,316,319
Meltem,3,317,320
Magretha,3,314,317
Marinde,0,315,315
Myla,0,312,312
Maagje,0,310,310
Menke,40,270,310
Mano,306,3,309
Marilou,3,308,311
Milana,0,309,309
Maite,3,307,310
Maykel,301,6,307
Matty,66,237,303
Misja,213,90,303
Madeline,0,302,302
Maickel,300,3,303
Margritha,3,301,304
Miryam,3,299,302
Malu,3,300,303
Marcellina,3,296,299
Mesut,300,0,300
Marie-Thérèse,23,276,299
Mariano,291,6,297
Menne,287,8,295
Minze,293,3,296
Marty,192,102,294
Meyra,0,294,294
Meinsje,0,293,293
Milko,291,3,294
Marre,15,277,292
Mel,205,87,292
Mijs,3,287,290
Merit,0,289,289
Marek,286,3,289
Mathijn,286,3,289
Melda,3,283,286
Miran,272,15,287
Madelein,9,277,286
Marchje,0,286,286
Margreeth,0,286,286
Marlien,0,285,285
Maico,284,0,284
Margina,3,280,283
Manuël,277,0,277
Malin,9,267,276
Massimo,271,3,274
Marietta,3,272,275
Marlo,216,52,268
Manita,3,266,269
Maasje,0,266,266
Mans,264,3,267
Meghan,0,266,266
Martini,32,233,265
Mack,261,3,264
Morrison,247,15,262
Marlotte,0,261,261
Miel,254,6,260
Maes,253,6,259
Milly,3,255,258
Marinke,0,258,258
Meagan,3,257,260
Milco,258,0,258
Mariella,3,254,257
Maron,123,134,257
Mas,248,9,257
Mehtap,0,256,256
Mient,256,0,256
Marli,12,240,252
Mea,3,250,253
Menko,248,0,248
Majorie,3,246,249
Marchina,0,247,247
Mareille,0,246,246
Marija,3,243,246
Mathia,13,233,246
Mikai,244,3,247
Mindert,246,0,246
Marijntje,11,234,245
Marcelinus,238,5,243
Mettina,0,243,243
Marleentje,3,239,242
Miep,3,239,242
Marwin,237,3,240
Mete,239,3,242
Magali,3,238,241
Mariem,0,239,239
Madison,16,222,238
Mounia,3,237,240
Meggie,0,237,237
Mathew,232,3,235
Matilda,6,228,234
Mietje,0,234,234
Mikael,234,0,234
Moon,42,192,234
Manuella,3,231,234
Medine,0,232,232
Metehan,232,0,232
Menna,3,228,231
Mouna,0,229,229
Michal,105,121,226
Manasse,219,5,224
Milad,217,7,224
Moïse,29,194,223
Marck,218,3,221
Maximilianus,219,3,222
Murk,220,0,220
Maddox,207,10,217
Maran,45,172,217
Maurizio,217,0,217
Maggie,3,214,217
Mary-Ann,3,215,218
Melia,0,216,216
Mattie,71,144,215
Mayla,0,215,215
Mintje,31,184,215
Marye,0,213,213
Marcellis,203,9,212
Mervin,209,3,212
Moritz,207,3,210
Mouad,211,0,211
Marieta,7,203,210
Milla,3,209,212
Marceline,3,207,210
Manus,206,3,209
Magcheltje,0,206,206
Mindy,0,205,205
Menso,204,0,204
Mimoun,202,3,205
Mirac,198,6,204
Mahamed,132,71,203
Margrietje,0,203,203
Marlinda,3,201,204
Mattijn,199,3,202
Mahdi,187,14,201
Mien,26,175,201
Myranda,3,199,202
Marchienus,200,0,200
Marein,118,82,200
Marline,3,199,202
Mendel,169,31,200
Matijs,198,3,201
Marle,7,189,196
Madelaine,3,192,195
Magdalene,3,192,195
Margherita,3,192,195
Marjolijne,0,195,195
Mensje,0,195,195
Merrigje,0,195,195
Marie-Antoinette,3,192,195
Mauricio,191,3,194
Metha,3,192,195
Marcelina,3,192,195
Marinthe,0,193,193
Matisse,176,17,193
Mexx,104,89,193
Margaux,3,191,194
Marionne,3,191,194
Madée,3,189,192
Marquerite,3,188,191
Mylou,0,191,191
Menzo,189,0,189
Marjanneke,0,188,188
Marritje,0,188,188
Marie-Jeanne,17,170,187
Marjoke,3,186,189
Mavis,9,177,186
Mattia,156,29,185
Meerten,182,3,185
Minnekus,184,3,187
Maira,3,183,186
Malaika,3,183,186
Mirande,3,180,183
Montana,53,131,184
Marèl,3,182,185
Marenthe,0,181,181
Margie,3,177,180
Martzen,15,166,181
Michelina,5,176,181
Minka,3,179,182
Matteüs,179,3,182
Marlissa,0,179,179
Mirian,6,171,177
Magriet,3,172,175
Majid,165,11,176
Moustafa,154,22,176
Mica,121,54,175
Mannus,174,0,174
Maricus,172,3,175
Mine,3,171,174
Mattheo,170,3,173
Mechtildus,106,66,172
Matthëus,171,0,171
Musab,168,0,168
Maiko,164,3,167
Marisha,3,165,168
Maroesja,0,166,166
Mikayla,3,164,167
Maryke,0,165,165
Mady,7,157,164
Magchiel,163,3,166
Minna,0,164,164
Marlise,3,162,165
Mackenzie,19,143,162
Maritza,0,161,161
Mevlüt,161,0,161
Mieneke,0,161,161
Morten,159,3,162
Maurijn,153,7,160
Meggy,0,160,160
Minette,3,159,162
Marjelle,3,158,161
Martiena,3,158,161
Mente,122,37,159
Matilde,3,157,160
Maggeltje,0,157,157
Magrita,0,157,157
Majda,0,157,157
Marthina,3,155,158
Merith,3,156,159
Margarietha,3,155,158
Margiena,3,155,158
Maudi,3,155,158
Mechiel,156,0,156
Mauk,143,12,155
Meeuwes,152,3,155
Maggy,3,152,155
Marginus,154,0,154
Mellissa,0,154,154
Mirja,3,151,154
Memphis,136,17,153
Madee,9,143,152
Matthé,149,3,152
Magritha,0,151,151
Marjory,0,151,151
Mervyn,151,0,151
Mac,144,6,150
Marchinus,150,0,150
Marguerita,3,149,152
Marianneke,0,150,150
Marileen,0,150,150
Maryem,0,150,150
Mathildus,149,3,152
Marlyn,3,145,148
Mechtild,12,137,149
Menze,149,0,149
Milja,3,148,151
Madelène,3,145,148
Marines,145,3,148
Matheo,144,3,147
Meije,108,40,148
Milène,0,148,148
Miro,143,5,148
Mostafa,126,22,148
Mariena,0,147,147
Magaretha,3,144,147
Margrit,3,143,146
Maissa,3,144,147
Manoa,30,114,144
Margreth,3,141,144
Maruschka,3,143,146
Melati,0,144,144
Madelinde,0,142,142
Meijer,135,7,142
Marthin,141,0,141
Matthia,19,122,141
Mengsje,0,141,141
Minte,24,117,141
Miron,86,55,141
Maylin,0,140,140
Meyke,3,138,141
Math,107,32,139
Macey,0,138,138
Marienus,136,3,139
Mathé,130,8,138
Mèlanie,0,138,138
Malon,3,134,137
Marèll,3,135,138
Mikay,136,3,139
Maritha,3,135,138
Maxx,133,3,136
Margarethus,134,0,134
Margrete,0,134,134
Mattis,132,3,135
Mauritz,132,3,135
Molly,3,131,134
Marjolijntje,0,133,133
Meliha,0,133,133
Muriëlle,3,132,135
Marcelia,3,131,134
Mikaela,0,132,132
Marente,0,131,131
Marie-Christine,3,128,131
Martiene,3,130,133
Mathildis,57,74,131
Meysa,0,130,130
Marik,126,3,129
Miena,0,129,129
Madieke,0,128,128
Marjam,0,128,128
Marrianne,0,128,128
Mena,17,111,128
Marianka,3,125,128
Miek,9,118,127
Mellany,0,126,126
Matheüs,123,3,126
Matthéüs,125,0,125
Maximiliano,125,0,125
Mirco,124,3,127
Madé,27,97,124
Menthe,8,116,124
Mikal,85,39,124
Minthe,0,124,124
Maks,116,7,123
Machteltje,0,122,122
Margeretha,5,117,122
Marisol,0,122,122
Marthijs,122,0,122
Mense,122,0,122
Michelangelo,121,3,124
Machtelt,0,121,121
Marjella,3,118,121
Mauritia,0,121,121
Mirjana,0,121,121
Magtilda,3,119,122
Marieka,0,120,120
Manda,3,118,121
Marouschka,0,119,119
Matthijn,119,0,119
Mya,0,119,119
Marica,0,118,118
Marla,3,117,120
Mecheline,3,115,118
Maj,3,114,117
Mareno,116,3,119
Marshall,116,3,119
Meera,0,117,117
Muzaffer,116,3,119
Merian,3,114,117
Michon,84,32,116
Minouche,3,115,118
Mohamad,111,5,116
Madina,0,115,115
María,7,108,115
Mathys,115,0,115
Matthys,115,0,115
Maybritt,0,115,115
Michaëlla,3,114,117
Mihriban,0,115,115
Myke,21,94,115
Malena,3,113,116
Mark-Jan,114,0,114
Martie,37,77,114
Mahad,100,13,113
Marnik,113,0,113
Marthinus,112,3,115
Melchert,113,0,113
Marcos,104,8,112
Maretje,0,112,112
Marriët,3,110,113
Mathies,112,0,112
Matti,89,23,112
Mayte,0,112,112
Miko,99,13,112
Madelijn,0,111,111
Matthanja,26,85,111
Merlijne,0,111,111
Milas,111,0,111
Moses,108,3,111
Macheltje,0,110,110
Marcelo,110,0,110
Marloe,3,109,112
Martyn,110,0,110
Matias,109,3,112
Melvyn,109,3,112
Michell,89,21,110
Miralda,0,110,110
Miracle,18,91,109
Maroussia,0,108,108
Ment,107,3,110
Machalina,0,107,107
Maia,3,106,109
Mar,40,67,107
Marcela,0,107,107
Mariane,3,105,108
Meadow,5,102,107
Michail,107,0,107
Moana,3,105,108
Mylene,3,106,109
Maurik,106,0,106
Melisje,0,106,106
Micheal,104,3,107
Murielle,0,106,106
Muus,98,8,106
Machteldje,3,104,107
Mayron,99,6,105
Meinke,0,105,105
Mijnsje,0,105,105
Mariandel,0,104,104
Marie-Josée,3,101,104
Marieken,0,104,104
Mauri,28,76,104
Meino,54,50,104
Mickael,104,0,104
Minouk,3,103,106
Morad,104,0,104
Mallory,3,101,104
Maximillian,102,3,105
Mellina,0,103,103
Milica,0,103,103
Maceo,100,3,103
Marchano,102,0,102
Marinis,101,3,104
Marti,52,50,102
Martijna,0,102,102
Marylou,3,98,101
Meile,98,3,101
Maria-Louise,3,99,102
Marlein,3,98,101
Marléne,3,98,101
Menco,101,0,101
Michél,94,7,101
Mücahit,101,0,101
Maël,84,16,100
Maroeska,0,100,100
Matijn,100,0,100
Misty,3,99,102
Madonna,0,99,99
Marca,3,97,100
Maryn,84,15,99
Merwin,97,3,100
Miloe,0,99,99
Mary-Jane,0,98,98
Melita,0,98,98
Michaella,3,97,100
Muharrem,98,0,98
Maeike,0,97,97
Magteld,0,97,97
Marinella,0,97,97
Mebius,97,0,97
Micaela,0,97,97
Mitzi,3,93,96
Madhavi,0,96,96
Magiel,94,3,97
Maximiliana,3,95,98
Mertcan,96,0,96
Maika,7,88,95
Marciana,3,93,96
Margré,3,93,96
Muammer,95,0,95
Mylena,0,95,95
Manel,33,61,94
Martienus,93,3,96
Marylène,0,94,94
Maxima,0,94,94
Mille,11,83,94
Mineke,0,94,94
Monisha,0,94,94
Manoek,3,89,92
Merlyn,22,71,93
Mienke,0,93,93
